slug,resolution,oracle_open,oracle_close,btc_open,btc_close,num_samples,avg_yes_mid,avg_spread,yes_mid_at_4m,yes_mid_at_3m,yes_mid_at_2m,yes_mid_at_1m,yes_mid_at_30s,spread_at_4m,spread_at_3m,spread_at_2m,spread_at_1m,spread_at_30s
btc-updown-5m-1774042800,DOWN,70402.71,70395.23,70440.98,70405.38,42,0.1596,0.0074,0.1750,0.0750,0.0250,0.5000,0.5000,0.0100,0.0100,0.0100,0.0000,0.0000
btc-updown-5m-1774043100,UP,70395.23,70533.45,70405.38,70556.61,58,0.7232,0.0105,0.6650,0.7350,0.8450,0.9650,0.5000,0.0100,0.0100,0.0100,0.0100,0.0000
btc-updown-5m-1774043400,DOWN,70533.45,70491.00,70556.61,70525.28,56,0.6148,0.0139,0.4950,0.7450,0.8450,0.8950,0.1700,0.0100,0.0100,0.0100,0.0100,0.0200
btc-updown-5m-1774043700,UP,70491.00,70535.89,70525.28,70554.81,57,0.5916,0.0102,0.5550,0.5150,0.6250,0.5050,0.8450,0.0100,0.0100,0.0100,0.0100,0.0100
btc-updown-5m-1774044000,UP,70535.89,70841.64,70554.81,70880.00,57,0.7444,0.0077,0.8750,0.9450,0.9750,0.5000,0.5000,0.0100,0.0100,0.0100,0.0000,0.0000
btc-updown-5m-1774044300,DOWN,70841.64,70795.56,70880.00,70797.00,57,0.2995,0.0126,0.2750,0.3150,0.4100,0.1950,0.0350,0.0100,0.0100,0.0200,0.0100,0.0100
btc-updown-5m-1774044600,DOWN,70795.56,70534.58,70797.00,70854.08,28,0.6339,0.0107,0.6950,0.6950,0.7250,0.7250,0.7250,0.0100,0.0100,0.0100,0.0100,0.0100
btc-updown-5m-1774057200,UP,70534.58,70534.58,70854.08,70510.05,2,0.5000,0.0000,0.5000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000
btc-updown-5m-1774057500,UP,70534.58,70703.64,70510.05,70503.36,5,0.3400,0.0120,0.3650,0.3650,0.3650,0.3650,0.3650,0.0100,0.0100,0.0100,0.0100,0.0100
btc-updown-5m-1774062000,DOWN,70703.64,70686.86,70503.36,70503.36,1,0.2350,0.0100,0.2350,0.2350,0.2350,0.2350,0.2350,0.0100,0.0100,0.0100,0.0100,0.0100
btc-updown-5m-1774088100,DOWN,70619.21,70567.50,70635.44,70591.11,55,0.3404,0.0101,0.5150,0.2950,0.2450,0.0250,0.5000,0.0100,0.0100,0.0100,0.0100,0.0000
btc-updown-5m-1774088400,DOWN,70567.50,70560.82,70591.11,70571.79,57,0.2970,0.0158,0.4550,0.3850,0.3400,0.0550,0.0800,0.0100,0.0100,0.0200,0.0100,0.0400
btc-updown-5m-1774088700,UP,70560.82,70571.17,70571.79,70597.67,57,0.6532,0.0196,0.7200,0.5650,0.8950,0.7250,0.6100,0.0200,0.0100,0.0100,0.0100,0.0400
btc-updown-5m-1774089000,UP,70571.17,70589.62,70597.67,70600.60,57,0.7773,0.0125,0.7450,0.7950,0.8250,0.9650,0.5000,0.0100,0.0100,0.0300,0.0100,0.0000
btc-updown-5m-1774089300,UP,70589.62,70603.03,70600.60,70620.00,57,0.7277,0.0130,0.5450,0.7250,0.8050,0.9050,0.9650,0.0100,0.0100,0.0100,0.0100,0.0100
btc-updown-5m-1774089600,DOWN,70603.03,70574.26,70620.00,70586.08,57,0.3169,0.0167,0.5050,0.2150,0.1850,0.2850,0.4150,0.0100,0.0100,0.0300,0.0100,0.0300
btc-updown-5m-1774089900,DOWN,70574.26,70560.71,70586.08,70574.50,58,0.2854,0.0126,0.3750,0.3650,0.3150,0.1250,0.0650,0.0100,0.0100,0.0100,0.0100,0.0300
btc-updown-5m-1774090200,UP,70560.71,70576.27,70574.50,70590.39,58,0.7078,0.0131,0.5600,0.6750,0.7600,0.8850,0.9650,0.0200,0.0100,0.0200,0.0100,0.0100
btc-updown-5m-1774090500,UP,70576.27,70585.45,70590.39,70605.65,58,0.7519,0.0169,0.6550,0.7450,0.8250,0.8950,0.9650,0.0100,0.0100,0.0100,0.0300,0.0100
btc-updown-5m-1774090800,UP,70585.45,70597.79,70605.65,70607.85,58,0.5240,0.0166,0.4150,0.4550,0.4750,0.5550,0.7950,0.0100,0.0100,0.0100,0.0300,0.0100
btc-updown-5m-1774091100,DOWN,70597.79,70592.75,70607.85,70583.50,56,0.4653,0.0163,0.4050,0.4650,0.5450,0.4450,0.3800,0.0100,0.0100,0.0300,0.0100,0.0200
btc-updown-5m-1774091400,DOWN,70592.75,70559.50,70583.50,70567.79,57,0.1641,0.0125,0.2550,0.1000,0.0750,0.0450,0.0250,0.0100,0.0200,0.0100,0.0100,0.0100
btc-updown-5m-1774091700,UP,70559.50,70574.02,70567.79,70591.23,57,0.7455,0.0118,0.5350,0.7200,0.8650,0.9250,0.9650,0.0100,0.0200,0.0300,0.0100,0.0100
btc-updown-5m-1774092000,UP,70574.02,70576.52,70591.23,70592.99,57,0.6575,0.0153,0.5850,0.6650,0.6750,0.7350,0.7950,0.0100,0.0100,0.0100,0.0300,0.0100
btc-updown-5m-1774092300,UP,70576.52,70594.91,70592.99,70610.00,58,0.7822,0.0103,0.7350,0.7450,0.8450,0.9250,0.9650,0.0100,0.0100,0.0100,0.0100,0.0100
btc-updown-5m-1774092600,DOWN,70594.91,70582.46,70610.00,70602.86,58,0.2145,0.0121,0.4750,0.1450,0.0650,0.0850,0.0550,0.0100,0.0100,0.0100,0.0300,0.0100
btc-updown-5m-1774092900,UP,70582.46,70597.56,70602.86,70609.99,58,0.6491,0.0112,0.3450,0.5350,0.7450,0.9250,0.9550,0.0100,0.0100,0.0100,0.0100,0.0100
btc-updown-5m-1774093200,UP,70597.56,70707.30,70609.99,70611.38,35,0.6003,0.0131,0.6650,0.5400,0.5250,0.5550,0.5550,0.0100,0.0200,0.0100,0.0100,0.0100
btc-updown-5m-1774097400,DOWN,70707.30,70699.31,70611.38,70714.54,11,0.1959,0.0118,0.3150,0.3150,0.3150,0.0850,0.0600,0.0100,0.0100,0.0100,0.0300,0.0400
btc-updown-5m-1774097700,UP,70699.31,70729.04,70714.54,70722.62,48,0.6566,0.0127,0.6250,0.7050,0.7050,0.5700,0.6000,0.0100,0.0100,0.0100,0.0200,0.0200
btc-updown-5m-1774100100,DOWN,70729.04,70716.81,70722.62,70730.88,30,0.1698,0.0090,0.0950,0.0950,0.2500,0.0400,0.0150,0.0100,0.0100,0.0200,0.0200,0.0100
btc-updown-5m-1774100400,DOWN,70716.81,70711.29,70730.88,70724.80,58,0.3347,0.0172,0.3550,0.3200,0.3950,0.4150,0.1200,0.0100,0.0400,0.0100,0.0500,0.0400
btc-updown-5m-1774100700,UP,70711.29,70718.56,70724.80,70735.08,58,0.5050,0.0145,0.4750,0.5750,0.3050,0.6800,0.9750,0.0100,0.0100,0.0100,0.0200,0.0100
btc-updown-5m-1774101000,UP,70718.56,70722.07,70735.08,70737.18,58,0.7352,0.0134,0.8150,0.6550,0.7650,0.7350,0.7550,0.0100,0.0100,0.0100,0.0100,0.0100
btc-updown-5m-1774101300,DOWN,70722.07,70719.05,70737.18,70740.19,58,0.3546,0.0153,0.3250,0.1950,0.4650,0.4450,0.2850,0.0100,0.0100,0.0100,0.0100,0.0100
btc-updown-5m-1774101600,UP,70719.05,70732.85,70740.19,70770.23,58,0.8538,0.0124,0.8050,0.9250,0.9250,0.9550,0.9350,0.0100,0.0100,0.0100,0.0100,0.0300
btc-updown-5m-1774101900,UP,70732.85,70802.38,70770.23,70815.04,59,0.7206,0.0099,0.5250,0.6600,0.9350,0.9850,0.5000,0.0100,0.0200,0.0100,0.0100,0.0000
btc-updown-5m-1774102200,UP,70802.38,71002.24,70815.04,71036.01,57,0.6038,0.0054,0.7850,0.9750,0.5000,0.5000,0.5000,0.0100,0.0100,0.0000,0.0000,0.0000
btc-updown-5m-1774102500,DOWN,71002.24,71000.68,71036.01,71015.20,57,0.2456,0.0130,0.4300,0.1050,0.0450,0.0150,0.5000,0.0200,0.0100,0.0100,0.0100,0.0000
btc-updown-5m-1774102800,DOWN,71000.68,70942.34,71015.20,70955.29,57,0.1890,0.0125,0.2950,0.1350,0.0650,0.0250,0.0150,0.0100,0.0100,0.0100,0.0100,0.0100
btc-updown-5m-1774103100,DOWN,70942.34,70918.02,70955.29,70937.52,48,0.2945,0.0106,0.2750,0.2750,0.3350,0.0650,0.0450,0.0100,0.0100,0.0100,0.0100,0.0100
btc-updown-5m-1774103400,UP,70918.02,70969.69,70937.52,71011.44,54,0.6420,0.0111,0.6350,0.5200,0.6250,0.9650,0.5000,0.0100,0.0200,0.0500,0.0100,0.0000
btc-updown-5m-1774103700,DOWN,70969.69,70925.92,71011.44,70943.49,58,0.2893,0.0110,0.4350,0.2450,0.1000,0.0550,0.5000,0.0100,0.0100,0.0200,0.0100,0.0000
btc-updown-5m-1774104000,DOWN,70925.92,70566.03,70943.49,70571.99,2,0.4300,0.0200,0.4550,0.4550,0.4550,0.4550,0.4550,0.0100,0.0100,0.0100,0.0100,0.0100
btc-updown-5m-1774106100,DOWN,70566.03,70499.85,70571.99,70540.80,35,0.3327,0.0037,0.1050,0.1050,0.0250,0.5000,0.5000,0.0100,0.0100,0.0100,0.0000,0.0000
