slug,timestamp,secs_remaining,btc_price,oracle_price,yes_mid,yes_bid,yes_ask,spread,resolution
btc-updown-5m-1774042800,2026-03-20T21:41:27.302700+00:00,212.7,70440.98,70402.71,0.1750,0.1700,0.1800,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:41:32.421012+00:00,207.6,70440.99,70402.71,0.1550,0.1500,0.1600,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:41:37.616664+00:00,202.4,70426.18,70402.71,0.1150,0.1100,0.1200,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:41:42.729079+00:00,197.3,70406.52,70402.71,0.0850,0.0800,0.0900,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:41:47.916448+00:00,192.1,70400.00,70410.00,0.0850,0.0800,0.0900,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:41:53.019524+00:00,187.0,70410.70,70410.00,0.0850,0.0800,0.0900,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:41:58.197520+00:00,181.8,70410.69,70410.00,0.0750,0.0700,0.0800,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:42:03.332593+00:00,176.7,70425.70,70410.00,0.1350,0.1300,0.1400,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:42:08.499428+00:00,171.5,70421.95,70410.00,0.0950,0.0900,0.1000,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:42:13.618144+00:00,166.4,70421.95,70410.00,0.0850,0.0800,0.0900,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:42:18.773349+00:00,161.2,70420.60,70412.57,0.0850,0.0800,0.0900,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:42:23.897353+00:00,156.1,70409.68,70412.57,0.0650,0.0600,0.0700,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:42:29.095910+00:00,150.9,70399.82,70412.57,0.0450,0.0400,0.0500,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:42:34.215642+00:00,145.8,70394.01,70412.57,0.0350,0.0300,0.0400,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:42:39.419821+00:00,140.6,70405.29,70412.57,0.0450,0.0400,0.0500,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:42:44.534958+00:00,135.5,70399.52,70412.57,0.0350,0.0300,0.0400,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:42:49.725403+00:00,130.3,70399.51,70412.57,0.0350,0.0300,0.0400,0.0100,DOWN
btc-updown-5m-1774042800,2026-03-20T21:42:54.834696+00:00,125.2,70411.30,70387.33,0.0250,0.0200,0.0300,0.0100,DOWN
