slug,window_ts,window_time,resolution,num_trades,window_trades,total_volume,implied_up_4m,trades_4m,implied_up_3m,trades_3m,implied_up_2m,trades_2m,implied_up_1m,trades_1m,implied_up_30s,trades_30s
btc-updown-5m-1771938000,1771938000,2026-02-24 13:00,UP,1000,713,34955.26,,0,,0,,0,0.1053,49,0.4485,713
btc-updown-5m-1771938300,1771938300,2026-02-24 13:05,UP,1000,910,35452.82,,0,,0,,0,0.8095,479,0.8629,910
btc-updown-5m-1771938600,1771938600,2026-02-24 13:10,UP,1000,944,38642.21,,0,,0,0.8497,46,0.9200,803,0.9683,532
btc-updown-5m-1771938900,1771938900,2026-02-24 13:15,DOWN,1000,948,52977.26,,0,,0,0.0935,286,0.0173,516,0.0092,332
btc-updown-5m-1771939200,1771939200,2026-02-24 13:20,DOWN,1000,965,54760.77,,0,0.0573,91,0.0519,728,0.0111,196,0.0100,56
btc-updown-5m-1771939500,1771939500,2026-02-24 13:25,DOWN,1000,827,38790.27,,0,,0,,0,0.2349,221,0.1402,827
btc-updown-5m-1771939800,1771939800,2026-02-24 13:30,DOWN,1000,749,54114.56,,0,,0,,0,0.2613,289,0.1264,749
btc-updown-5m-1771940100,1771940100,2026-02-24 13:35,UP,1000,939,66295.23,,0,,0,0.9045,463,0.9830,504,0.9836,157
btc-updown-5m-1771940400,1771940400,2026-02-24 13:40,DOWN,1000,848,33670.30,,0,,0,,0,0.7111,332,0.5124,848
btc-updown-5m-1771940700,1771940700,2026-02-24 13:45,UP,1000,786,64444.78,,0,,0,,0,0.9302,352,0.9467,786
btc-updown-5m-1771941000,1771941000,2026-02-24 13:50,UP,1000,925,34241.51,,0,,0,,0,0.7886,479,0.8574,886
btc-updown-5m-1771941300,1771941300,2026-02-24 13:55,DOWN,1000,954,36697.25,,0,,0,,0,0.2021,620,0.1051,753
btc-updown-5m-1771941600,1771941600,2026-02-24 14:00,DOWN,1000,952,42162.01,,0,,0,0.2032,154,0.0779,773,0.0347,534
