window_ts,window_time,actual_direction,signal_prediction,signal_confidence,est_prob_up,entry_timing,entry_price,entry_side,won,pnl,regime,hour_utc,price_source,market_trades
1771938300,2026-02-24 13:05,UP,UP,0.064345,0.564345,1m,0.814500,YES,True,0.165500,ranging,13,poly_trades,479
1771938600,2026-02-24 13:10,UP,UP,0.038527,0.538527,2m,0.854700,YES,True,0.125300,ranging,13,poly_trades,46
1771938900,2026-02-24 13:15,DOWN,DOWN,0.023229,0.476771,2m,0.911500,NO,True,0.068500,ranging,13,poly_trades,286
1771939200,2026-02-24 13:20,DOWN,DOWN,0.111871,0.388129,2m,0.953100,NO,True,0.026900,ranging,13,poly_trades,728
1771939500,2026-02-24 13:25,DOWN,DOWN,0.030102,0.469898,1m,0.770100,NO,True,0.209900,trending_down,13,poly_trades,221
1771939800,2026-02-24 13:30,DOWN,UP,0.058889,0.558889,1m,0.266300,YES,False,-0.286300,trending_down,13,poly_trades,289
1771940100,2026-02-24 13:35,UP,UP,0.060940,0.560940,2m,0.909500,YES,True,0.070500,trending_down,13,poly_trades,463
1771940700,2026-02-24 13:45,UP,UP,0.087955,0.587955,1m,0.935200,YES,True,0.044800,ranging,13,poly_trades,352
1771941000,2026-02-24 13:50,UP,UP,0.032275,0.532275,30s,0.862400,YES,True,0.117600,trending_up,13,poly_trades,886
1771941300,2026-02-24 13:55,DOWN,DOWN,0.077429,0.422571,1m,0.802900,NO,True,0.177100,ranging,13,poly_trades,620
1771941600,2026-02-24 14:00,DOWN,DOWN,0.025646,0.474354,2m,0.801800,NO,True,0.178200,ranging,14,poly_trades,154
1771941900,2026-02-24 14:05,UP,UP,0.059597,0.559597,2m,0.980000,YES,True,0.000000,trending_down,14,poly_trades,322
1771942200,2026-02-24 14:10,UP,DOWN,0.033301,0.466699,1m,0.857400,NO,False,-0.877400,ranging,14,poly_trades,218
1771942500,2026-02-24 14:15,DOWN,UP,0.048988,0.548988,2m,0.194200,YES,False,-0.214200,ranging,14,poly_trades,109
1771942800,2026-02-24 14:20,UP,UP,0.073376,0.573376,2m,0.909900,YES,True,0.070100,ranging,14,poly_trades,468
1771943100,2026-02-24 14:25,UP,UP,0.084785,0.584785,1m,0.793700,YES,True,0.186300,ranging,14,poly_trades,467
1771943400,2026-02-24 14:30,DOWN,DOWN,0.042131,0.457869,2m,0.907900,NO,True,0.072100,ranging,14,poly_trades,379
