covered,filled,won,day,size,entry,maker_L,pnl_maker,pnl_paper
True,True,1.0,2026-06-02,3.28,0.475,0.46499999999999997,0.535,0.507045
True,True,1.0,2026-06-02,4.15,0.475,0.46499999999999997,0.535,0.507045
True,True,0.0,2026-06-02,1.98,0.495,0.46499999999999997,-0.46499999999999997,-0.5129982
True,True,1.0,2026-06-02,4.82,0.435,0.425,0.575,0.5473041999999999
True,False,1.0,2026-06-02,1.17,0.515,0.475,,0.4670162
True,True,1.0,2026-06-02,2.77,0.495,0.485,0.515,0.4870018
True,False,1.0,2026-06-02,3.74,0.355,0.345,,0.6285138
True,False,1.0,2026-06-02,1.33,0.485,0.44499999999999995,,0.4970162
True,False,1.0,2026-06-02,5.0,0.375,0.365,,0.608125
True,True,1.0,2026-06-02,5.0,0.435,0.425,0.575,0.5473041999999999
True,True,1.0,2026-06-02,5.0,0.445,0.4350000000000001,0.565,0.5372178
True,True,1.0,2026-06-02,3.81,0.405,0.395,0.605,0.5776498
True,True,1.0,2026-06-02,2.02,0.465,0.455,0.5449999999999999,0.5170881999999999
True,False,1.0,2026-06-02,5.0,0.445,0.4250000000000001,,0.5372178
True,True,0.0,2026-06-02,5.0,0.395,0.365,-0.365,-0.4122062
True,True,1.0,2026-06-02,4.07,0.495,0.46499999999999997,0.535,0.4870018
True,True,0.0,2026-06-02,2.72,0.495,0.475,-0.475,-0.5129982
True,True,1.0,2026-06-02,2.18,0.485,0.475,0.525,0.4970162
True,True,1.0,2026-06-02,3.59,0.515,0.505,0.495,0.4670162
True,True,0.0,2026-06-02,4.82,0.465,0.455,-0.455,-0.4829118
True,True,1.0,2026-06-02,2.3,0.495,0.475,0.525,0.4870018
True,True,0.0,2026-06-02,3.13,0.445,0.4350000000000001,-0.4350000000000001,-0.46278220000000003
True,True,1.0,2026-06-02,5.0,0.415,0.40499999999999997,0.595,0.5675201999999999
True,False,1.0,2026-06-02,5.0,0.445,0.425,,0.5372178
True,True,0.0,2026-06-02,4.9,0.475,0.46499999999999997,-0.46499999999999997,-0.492955
True,True,0.0,2026-06-02,4.65,0.475,0.46499999999999997,-0.46499999999999997,-0.492955
True,True,0.0,2026-06-02,1.62,0.505,0.495,-0.495,-0.5229982
True,True,1.0,2026-06-02,5.0,0.405,0.395,0.605,0.5776498
True,True,0.0,2026-06-02,5.0,0.425,0.39499999999999996,-0.39499999999999996,-0.44259499999999996
True,True,1.0,2026-06-02,5.0,0.465,0.455,0.5449999999999999,0.5170881999999999
True,True,1.0,2026-06-02,2.45,0.495,0.485,0.515,0.4870018
True,True,0.0,2026-06-02,3.44,0.495,0.485,-0.485,-0.5129982
True,True,0.0,2026-06-02,3.92,0.405,0.375,-0.375,-0.4223502
True,True,0.0,2026-06-02,3.02,0.505,0.495,-0.495,-0.5229982
True,True,0.0,2026-06-02,1.37,0.485,0.475,-0.475,-0.5029838
True,False,1.0,2026-06-02,5.0,0.385,0.375,,0.5979522
True,False,1.0,2026-06-02,5.0,0.455,0.445,,0.5271457999999999
True,True,1.0,2026-06-02,1.56,0.495,0.485,0.515,0.4870018
True,True,1.0,2026-06-02,3.94,0.425,0.415,0.585,0.5574049999999999
True,False,1.0,2026-06-02,5.0,0.435,0.425,,0.5473041999999999
True,True,0.0,2026-06-02,2.08,0.5650000000000001,0.5150000000000001,-0.5150000000000001,-0.5826958000000001
True,False,1.0,2026-06-02,1.51,0.505,0.485,,0.4770018
True,True,0.0,2026-06-02,2.27,0.475,0.43500000000000005,-0.43500000000000005,-0.492955
True,True,1.0,2026-06-02,2.69,0.515,0.505,0.495,0.4670162
True,True,1.0,2026-06-02,2.55,0.505,0.495,0.505,0.4770018
True,True,0.0,2026-06-02,4.26,0.515,0.495,-0.495,-0.5329838
True,True,1.0,2026-06-02,3.3,0.435,0.425,0.575,0.5473041999999999
True,True,1.0,2026-06-02,3.2,0.525,0.505,0.495,0.457045
True,True,0.0,2026-06-02,1.0,0.535,0.505,-0.505,-0.5529118000000001
True,True,0.0,2026-06-02,3.98,0.455,0.445,-0.445,-0.4728542
True,False,1.0,2026-06-02,5.0,0.415,0.40499999999999997,,0.5675201999999999
True,True,0.0,2026-06-02,5.0,0.425,0.415,-0.415,-0.44259499999999996
True,True,1.0,2026-06-02,1.91,0.535,0.525,0.475,0.4470882
True,True,1.0,2026-06-02,3.36,0.445,0.4250000000000001,0.575,0.5372178
True,True,1.0,2026-06-02,5.0,0.385,0.375,0.625,0.5979522
True,True,1.0,2026-06-02,5.0,0.485,0.475,0.525,0.4970162
True,True,0.0,2026-06-02,4.84,0.485,0.475,-0.475,-0.5029838
True,True,1.0,2026-06-02,2.82,0.515,0.505,0.495,0.4670162
True,True,0.0,2026-06-02,3.99,0.475,0.46499999999999997,-0.46499999999999997,-0.492955
True,False,1.0,2026-06-02,3.06,0.455,0.4350000000000001,,0.5271457999999999
True,False,1.0,2026-06-02,1.26,0.505,0.485,,0.4770018
True,False,1.0,2026-06-02,1.25,0.525,0.515,,0.457045
True,True,1.0,2026-06-02,2.42,0.475,0.465,0.5349999999999999,0.507045
True,True,0.0,2026-06-02,1.62,0.505,0.495,-0.495,-0.5229982
True,True,0.0,2026-06-03,4.8,0.435,0.425,-0.425,-0.4526958
True,True,0.0,2026-06-03,4.99,0.445,0.435,-0.435,-0.46278220000000003
True,True,0.0,2026-06-03,4.02,0.455,0.445,-0.445,-0.4728542
True,True,0.0,2026-06-03,3.97,0.475,0.455,-0.455,-0.492955
True,True,0.0,2026-06-03,2.62,0.495,0.485,-0.485,-0.5129982
True,True,1.0,2026-06-03,3.95,0.425,0.415,0.585,0.5574049999999999
True,True,0.0,2026-06-03,5.0,0.455,0.445,-0.445,-0.4728542
True,True,1.0,2026-06-03,5.0,0.425,0.415,0.585,0.5574049999999999
True,True,0.0,2026-06-03,4.19,0.455,0.445,-0.445,-0.4728542
True,True,1.0,2026-06-03,1.64,0.525,0.515,0.485,0.457045
True,True,0.0,2026-06-03,3.5,0.435,0.425,-0.425,-0.4526958
True,False,0.0,2026-06-03,2.28,0.515,0.505,,-0.5329838
True,True,0.0,2026-06-03,1.82,0.505,0.495,-0.495,-0.5229982
True,False,1.0,2026-06-03,1.6,0.505,0.495,,0.4770018
True,True,0.0,2026-06-03,1.0,0.515,0.505,-0.505,-0.5329838
True,False,1.0,2026-06-03,2.56,0.34500000000000003,0.335,,0.6387298
True,True,1.0,2026-06-03,5.0,0.375,0.33499999999999996,0.665,0.608125
True,False,1.0,2026-06-03,2.4,0.465,0.38500000000000006,,0.5170881999999999
True,True,1.0,2026-06-03,1.85,0.495,0.485,0.515,0.4870018
True,False,1.0,2026-06-03,5.0,0.495,0.485,,0.4870018
True,True,0.0,2026-06-03,2.14,0.485,0.475,-0.475,-0.5029838
True,True,1.0,2026-06-03,3.26,0.445,0.435,0.565,0.5372178
True,False,1.0,2026-06-03,3.77,0.455,0.445,,0.5271457999999999
True,True,1.0,2026-06-03,2.26,0.515,0.505,0.495,0.4670162
True,True,1.0,2026-06-03,3.24,0.485,0.475,0.525,0.4970162
True,True,0.0,2026-06-03,3.21,0.495,0.485,-0.485,-0.5129982
True,True,0.0,2026-06-03,1.0,0.535,0.525,-0.525,-0.5529118000000001
True,True,1.0,2026-06-03,2.49,0.525,0.515,0.485,0.457045
True,True,0.0,2026-06-03,2.1,0.535,0.525,-0.525,-0.5529118000000001
True,False,1.0,2026-06-03,1.23,0.515,0.46499999999999997,,0.4670162
True,True,0.0,2026-06-03,1.83,0.445,0.4350000000000001,-0.4350000000000001,-0.46278220000000003
True,True,1.0,2026-06-03,1.79,0.505,0.495,0.505,0.4770018
True,True,0.0,2026-06-03,2.31,0.425,0.415,-0.415,-0.44259499999999996
True,True,1.0,2026-06-03,1.0,0.525,0.515,0.485,0.457045
True,True,1.0,2026-06-03,1.69,0.455,0.445,0.5549999999999999,0.5271457999999999
True,True,1.0,2026-06-03,1.0,0.515,0.46499999999999997,0.535,0.4670162
True,True,1.0,2026-06-03,3.61,0.455,0.445,0.5549999999999999,0.5271457999999999
True,True,0.0,2026-06-03,2.61,0.485,0.445,-0.445,-0.5029838
True,True,1.0,2026-06-03,1.0,0.505,0.495,0.505,0.4770018
True,True,0.0,2026-06-03,1.0,0.535,0.525,-0.525,-0.5529118000000001
True,True,1.0,2026-06-03,1.94,0.505,0.495,0.505,0.4770018
True,True,0.0,2026-06-03,3.98,0.465,0.455,-0.455,-0.4829118
True,True,1.0,2026-06-03,4.41,0.495,0.485,0.515,0.4870018
True,True,0.0,2026-06-03,3.52,0.515,0.505,-0.505,-0.5329838
True,True,1.0,2026-06-03,1.81,0.485,0.475,0.525,0.4970162
True,True,0.0,2026-06-03,2.55,0.465,0.455,-0.455,-0.4829118
True,True,1.0,2026-06-03,5.0,0.425,0.415,0.585,0.5574049999999999
