covered,filled,won,day,size,entry,maker_L,pnl_maker,pnl_paper
True,False,1.0,2026-05-13,2.53,0.505,0.475,,0.4770018
True,True,1.0,2026-05-13,1.94,0.505,0.495,0.505,0.4770018
True,True,0.0,2026-05-13,4.53,0.445,0.435,-0.435,-0.46278220000000003
True,False,0.0,2026-05-13,5.0,0.415,0.385,,-0.43247979999999997
True,False,1.0,2026-05-13,5.0,0.415,0.405,,0.5675201999999999
True,False,0.0,2026-05-13,4.17,0.465,0.455,,-0.4829118
True,True,1.0,2026-05-13,2.69,0.485,0.475,0.525,0.4970162
True,False,1.0,2026-05-13,1.0,0.465,0.455,,0.5170881999999999
True,True,1.0,2026-05-13,3.35,0.495,0.485,0.515,0.4870018
True,False,0.0,2026-05-13,1.66,0.525,0.515,,-0.5429550000000001
True,False,1.0,2026-05-13,4.29,0.455,0.425,,0.5271457999999999
True,False,1.0,2026-05-13,1.88,0.535,0.525,,0.4470882
True,True,0.0,2026-05-13,4.88,0.455,0.425,-0.425,-0.4728542
True,False,1.0,2026-05-13,5.0,0.425,0.415,,0.5574049999999999
True,False,0.0,2026-05-13,1.83,0.515,0.505,,-0.5329838
True,False,1.0,2026-05-13,5.0,0.425,0.415,,0.5574049999999999
True,True,1.0,2026-05-13,2.54,0.485,0.425,0.575,0.4970162
True,True,0.0,2026-05-13,3.76,0.475,0.425,-0.425,-0.492955
True,False,0.0,2026-05-13,1.88,0.545,0.535,,-0.5628542000000001
True,False,1.0,2026-05-13,2.34,0.545,0.525,,0.4371458
True,True,0.0,2026-05-13,5.0,0.465,0.455,-0.455,-0.4829118
True,False,0.0,2026-05-13,5.0,0.435,0.325,,-0.4526958
True,False,0.0,2026-05-13,1.96,0.495,0.465,,-0.5129982
True,False,0.0,2026-05-13,1.0,0.525,0.445,,-0.5429550000000001
True,False,0.0,2026-05-13,5.0,0.455,0.445,,-0.4728542
True,False,1.0,2026-05-13,1.34,0.555,0.505,,0.4272178
True,False,0.0,2026-05-13,5.0,0.415,0.405,,-0.43247979999999997
True,False,1.0,2026-05-13,4.56,0.435,0.395,,0.5473041999999999
True,False,1.0,2026-05-13,5.0,0.405,0.395,,0.5776498
True,False,1.0,2026-05-14,5.0,0.445,0.435,,0.5372178
True,False,1.0,2026-05-14,4.27,0.495,0.485,,0.4870018
True,False,1.0,2026-05-14,5.0,0.445,0.34500000000000003,,0.5372178
True,False,0.0,2026-05-14,1.44,0.5650000000000001,0.505,,-0.5826958000000001
True,False,0.0,2026-05-14,4.53,0.455,0.425,,-0.4728542
True,True,0.0,2026-05-14,4.83,0.445,0.425,-0.425,-0.46278220000000003
True,False,0.0,2026-05-14,5.0,0.465,0.455,,-0.4829118
True,True,1.0,2026-05-14,2.11,0.485,0.465,0.5349999999999999,0.4970162
True,True,0.0,2026-05-14,5.0,0.435,0.415,-0.415,-0.4526958
True,False,0.0,2026-05-14,1.74,0.545,0.505,,-0.5628542000000001
True,False,0.0,2026-05-14,5.0,0.425,0.395,,-0.44259499999999996
True,False,1.0,2026-05-14,1.0,0.485,0.475,,0.4970162
True,False,1.0,2026-05-14,1.08,0.475,0.465,,0.507045
True,True,1.0,2026-05-14,1.7,0.445,0.435,0.565,0.5372178
True,True,0.0,2026-05-14,2.1,0.475,0.465,-0.465,-0.492955
True,False,0.0,2026-05-14,2.33,0.405,0.395,,-0.4223502
True,False,1.0,2026-05-14,1.26,0.525,0.515,,0.457045
True,True,0.0,2026-05-14,5.0,0.425,0.405,-0.405,-0.44259499999999996
True,False,1.0,2026-05-14,4.4,0.455,0.445,,0.5271457999999999
True,False,1.0,2026-05-14,2.94,0.525,0.515,,0.457045
True,False,1.0,2026-05-14,5.0,0.415,0.405,,0.5675201999999999
True,False,1.0,2026-05-14,5.0,0.415,0.385,,0.5675201999999999
True,False,0.0,2026-05-14,4.41,0.455,0.445,,-0.4728542
True,False,0.0,2026-05-14,1.25,0.505,0.485,,-0.5229982
True,False,1.0,2026-05-14,5.0,0.405,0.395,,0.5776498
True,False,0.0,2026-05-14,5.0,0.425,0.405,,-0.44259499999999996
True,False,0.0,2026-05-14,3.53,0.545,0.535,,-0.5628542000000001
True,False,1.0,2026-05-14,1.49,0.545,0.525,,0.4371458
True,True,0.0,2026-05-14,4.39,0.475,0.465,-0.465,-0.492955
True,True,1.0,2026-05-14,4.32,0.445,0.435,0.565,0.5372178
True,False,0.0,2026-05-14,3.34,0.475,0.435,,-0.492955
True,True,1.0,2026-05-14,5.0,0.405,0.395,0.605,0.5776498
True,False,1.0,2026-05-14,2.1,0.475,0.465,,0.507045
True,False,1.0,2026-05-14,2.07,0.505,0.495,,0.4770018
True,True,0.0,2026-05-14,5.0,0.435,0.425,-0.425,-0.4526958
True,False,0.0,2026-05-14,2.84,0.535,0.525,,-0.5529118000000001
True,False,1.0,2026-05-14,3.87,0.495,0.485,,0.4870018
True,True,0.0,2026-05-14,5.0,0.485,0.475,-0.475,-0.5029838
True,True,0.0,2026-05-14,5.0,0.435,0.395,-0.395,-0.4526958
True,False,0.0,2026-05-14,5.0,0.415,0.405,,-0.43247979999999997
True,False,1.0,2026-05-14,2.59,0.475,0.385,,0.507045
True,False,1.0,2026-05-14,4.26,0.485,0.475,,0.4970162
True,True,1.0,2026-05-14,3.38,0.475,0.465,0.5349999999999999,0.507045
True,True,1.0,2026-05-14,3.05,0.495,0.485,0.515,0.4870018
True,True,1.0,2026-05-14,1.3,0.515,0.505,0.495,0.4670162
True,True,0.0,2026-05-14,2.75,0.485,0.475,-0.475,-0.5029838
True,False,0.0,2026-05-14,2.57,0.505,0.495,,-0.5229982
True,True,1.0,2026-05-14,1.0,0.515,0.505,0.495,0.4670162
True,False,1.0,2026-05-14,2.01,0.515,0.505,,0.4670162
True,True,0.0,2026-05-14,2.73,0.505,0.495,-0.495,-0.5229982
True,True,0.0,2026-05-14,4.09,0.505,0.495,-0.495,-0.5229982
True,False,1.0,2026-05-14,3.29,0.475,0.465,,0.507045
True,True,1.0,2026-05-14,5.0,0.465,0.445,0.5549999999999999,0.5170881999999999
True,False,1.0,2026-05-14,2.57,0.515,0.425,,0.4670162
True,True,1.0,2026-05-14,5.0,0.465,0.455,0.5449999999999999,0.5170881999999999
True,False,1.0,2026-05-14,3.49,0.525,0.495,,0.457045
True,False,1.0,2026-05-14,5.0,0.425,0.415,,0.5574049999999999
True,False,0.0,2026-05-14,2.06,0.515,0.485,,-0.5329838
True,False,1.0,2026-05-14,2.15,0.505,0.495,,0.4770018
True,False,0.0,2026-05-14,5.0,0.475,0.465,,-0.492955
True,True,1.0,2026-05-14,2.9,0.475,0.465,0.5349999999999999,0.507045
True,True,0.0,2026-05-14,2.47,0.495,0.485,-0.485,-0.5129982
True,True,1.0,2026-05-14,2.99,0.405,0.395,0.605,0.5776498
True,False,0.0,2026-05-14,1.98,0.425,0.335,,-0.44259499999999996
True,False,0.0,2026-05-14,1.99,0.435,0.415,,-0.4526958
True,False,0.0,2026-05-14,1.64,0.505,0.495,,-0.5229982
True,False,1.0,2026-05-14,2.77,0.485,0.435,,0.4970162
True,False,0.0,2026-05-14,5.0,0.425,0.405,,-0.44259499999999996
True,False,1.0,2026-05-14,1.01,0.525,0.515,,0.457045
True,False,0.0,2026-05-14,2.23,0.475,0.465,,-0.492955
True,True,1.0,2026-05-14,1.0,0.445,0.435,0.565,0.5372178
True,False,1.0,2026-05-14,2.61,0.505,0.495,,0.4770018
True,False,1.0,2026-05-14,4.63,0.445,0.395,,0.5372178
True,True,1.0,2026-05-14,5.0,0.415,0.375,0.625,0.5675201999999999
True,False,1.0,2026-05-14,2.01,0.515,0.505,,0.4670162
True,False,1.0,2026-05-14,3.32,0.545,0.535,,0.4371458
True,False,0.0,2026-05-15,1.66,0.515,0.505,,-0.5329838
True,True,1.0,2026-05-15,3.96,0.515,0.505,0.495,0.4670162
True,True,1.0,2026-05-15,1.19,0.515,0.505,0.495,0.4670162
True,False,1.0,2026-05-15,5.0,0.405,0.395,,0.5776498
True,True,1.0,2026-05-15,4.48,0.445,0.425,0.575,0.5372178
True,False,1.0,2026-05-15,2.07,0.5650000000000001,0.555,,0.41730419999999996
True,False,1.0,2026-05-15,5.0,0.435,0.375,,0.5473041999999999
True,True,1.0,2026-05-15,5.0,0.405,0.395,0.605,0.5776498
True,False,0.0,2026-05-15,5.0,0.415,0.34500000000000003,,-0.43247979999999997
True,True,0.0,2026-05-15,5.0,0.425,0.415,-0.415,-0.44259499999999996
True,False,0.0,2026-05-15,5.0,0.405,0.395,,-0.4223502
True,True,1.0,2026-05-15,3.39,0.475,0.465,0.5349999999999999,0.507045
True,False,1.0,2026-05-15,5.0,0.415,0.405,,0.5675201999999999
True,False,0.0,2026-05-15,5.0,0.405,0.395,,-0.4223502
True,False,1.0,2026-05-15,2.96,0.485,0.475,,0.4970162
True,True,0.0,2026-05-15,5.0,0.425,0.405,-0.405,-0.44259499999999996
True,False,0.0,2026-05-15,1.0,0.485,0.475,,-0.5029838
True,False,0.0,2026-05-15,1.95,0.505,0.495,,-0.5229982
True,True,0.0,2026-05-15,5.0,0.405,0.395,-0.395,-0.4223502
True,True,0.0,2026-05-15,3.17,0.465,0.455,-0.455,-0.4829118
True,False,1.0,2026-05-15,3.03,0.475,0.465,,0.507045
True,False,0.0,2026-05-15,5.0,0.405,0.395,,-0.4223502
True,True,0.0,2026-05-15,1.0,0.505,0.495,-0.495,-0.5229982
True,False,1.0,2026-05-15,1.0,0.485,0.465,,0.4970162
True,False,1.0,2026-05-15,1.0,0.515,0.505,,0.4670162
True,True,1.0,2026-05-15,1.01,0.495,0.485,0.515,0.4870018
True,False,0.0,2026-05-15,1.74,0.485,0.475,,-0.5029838
True,True,0.0,2026-05-15,1.19,0.465,0.455,-0.455,-0.4829118
True,False,1.0,2026-05-15,1.0,0.495,0.485,,0.4870018
True,False,0.0,2026-05-15,3.28,0.465,0.455,,-0.4829118
True,True,1.0,2026-05-15,2.09,0.505,0.475,0.525,0.4770018
True,False,1.0,2026-05-15,4.67,0.435,0.385,,0.5473041999999999
True,False,1.0,2026-05-15,5.0,0.405,0.395,,0.5776498
True,False,1.0,2026-05-15,3.92,0.465,0.425,,0.5170881999999999
True,False,1.0,2026-05-15,5.0,0.425,0.385,,0.5574049999999999
True,False,0.0,2026-05-15,5.0,0.415,0.335,,-0.43247979999999997
True,True,0.0,2026-05-15,2.0,0.495,0.485,-0.485,-0.5129982
True,False,1.0,2026-05-15,5.0,0.415,0.395,,0.5675201999999999
True,True,1.0,2026-05-15,3.01,0.455,0.445,0.5549999999999999,0.5271457999999999
True,False,1.0,2026-05-15,1.37,0.525,0.485,,0.457045
True,False,0.0,2026-05-15,3.23,0.425,0.415,,-0.44259499999999996
True,False,1.0,2026-05-15,5.0,0.415,0.395,,0.5675201999999999
True,False,1.0,2026-05-15,1.0,0.545,0.515,,0.4371458
True,False,0.0,2026-05-15,5.0,0.445,0.395,,-0.46278220000000003
True,False,0.0,2026-05-15,2.01,0.555,0.535,,-0.5727822
True,True,1.0,2026-05-15,1.85,0.485,0.475,0.525,0.4970162
True,True,0.0,2026-05-15,2.79,0.505,0.495,-0.495,-0.5229982
True,True,1.0,2026-05-15,3.16,0.485,0.475,0.525,0.4970162
True,True,1.0,2026-05-15,1.48,0.505,0.455,0.5449999999999999,0.4770018
True,False,0.0,2026-05-15,5.0,0.445,0.395,,-0.46278220000000003
True,False,0.0,2026-05-15,1.03,0.515,0.505,,-0.5329838
True,False,1.0,2026-05-15,2.54,0.515,0.505,,0.4670162
True,False,1.0,2026-05-15,3.37,0.515,0.505,,0.4670162
True,True,0.0,2026-05-15,1.21,0.505,0.495,-0.495,-0.5229982
True,True,0.0,2026-05-15,2.96,0.495,0.485,-0.485,-0.5129982
True,False,1.0,2026-05-15,5.0,0.415,0.405,,0.5675201999999999
True,True,0.0,2026-05-15,2.47,0.515,0.505,-0.505,-0.5329838
True,False,1.0,2026-05-15,1.55,0.515,0.505,,0.4670162
True,False,1.0,2026-05-15,3.87,0.405,0.365,,0.5776498
True,False,1.0,2026-05-15,1.19,0.495,0.485,,0.4870018
True,False,1.0,2026-05-15,3.2,0.425,0.415,,0.5574049999999999
True,True,0.0,2026-05-15,2.67,0.445,0.415,-0.415,-0.46278220000000003
True,True,1.0,2026-05-15,3.2,0.415,0.405,0.595,0.5675201999999999
True,True,1.0,2026-05-15,2.34,0.515,0.505,0.495,0.4670162
True,False,1.0,2026-05-15,1.83,0.475,0.465,,0.507045
True,True,0.0,2026-05-15,1.92,0.505,0.475,-0.475,-0.5229982
True,False,0.0,2026-05-15,5.0,0.435,0.425,,-0.4526958
True,True,0.0,2026-05-15,5.0,0.425,0.415,-0.415,-0.44259499999999996
True,False,1.0,2026-05-15,2.63,0.485,0.445,,0.4970162
True,True,1.0,2026-05-15,1.01,0.535,0.525,0.475,0.4470882
True,False,0.0,2026-05-15,5.0,0.425,0.415,,-0.44259499999999996
True,False,0.0,2026-05-15,2.57,0.475,0.43500000000000005,,-0.492955
True,True,1.0,2026-05-15,4.36,0.435,0.425,0.575,0.5473041999999999
