wallet,markets_active,direction_wr_pct,total_trades,total_volume,net_pnl,roi_pct,avg_entry_price,trade_wr_pct
0x5285fa6269f2df68cceff60ef20f4064f02e99a1,567,70.5,3597,37720.05,7363.17,19.52,0.5328,60.1
0xa5096868146ce2dae5bdedfc1b54a9174859666e,728,91.6,5698,61482.65,5324.45,8.66,0.4886,53.2
0xa0c005e435cc420334bbc3300473b2ea0ac35adc,513,77.4,4873,34390.54,2783.43,8.09,0.539,57.3
0x9b770f80fac350b48fb7d50079d2262e8ed980b3,745,78.5,16494,212749.37,15981.62,7.51,0.5229,55.9
0x6b9bb0d2563663ca61db4991066471fe38bc2bf9,534,74.5,4575,35706.85,2637.01,7.39,0.4722,48.7
0x4c5c9a295917b246e4689b461bb168ee70a98080,684,73.5,1890,10498.04,771.66,7.35,0.5889,60.9
0xef01365d2f06d3df65f7e4c1252fc857af324f22,604,70.2,11498,166119.1,11242.59,6.77,0.5451,58.2
0x596c3d835464811023955d275a4537ec22c7766d,776,70.5,4557,62934.3,4192.53,6.66,0.5006,55.3
0x71d30f02264a23f38b74c682bb95112e834a6965,574,76.0,3053,22412.0,1477.05,6.59,0.5337,55.5
0x61fdf2b07ba6747edbcf9b3191e634ce5a925b6e,618,83.3,15664,219876.05,14017.76,6.38,0.6377,68.2
0x0bc782bd789b0055b953b5a8e709b5242f549b03,654,73.5,1967,14389.09,908.59,6.31,0.5306,55.3
0xbc61e8b850e011e4f01f60f5a0fa309fb0b9792f,631,73.1,1791,14606.92,919.8,6.3,0.5373,58.3
0x6fed9ff6264432dc655dd1951e30c6fe9486c3bd,812,74.1,3601,28797.01,1763.17,6.12,0.5689,60.1
0xe3ee76243455a9e9ae99c46ca78bfb4fc554f1a4,1142,71.3,8737,53065.58,3163.8,5.96,0.4808,50.6
0x2cf3d8ca4387c79a39ff9319f1b246961d6651c6,2592,75.0,7871,61687.83,3581.43,5.81,0.5551,57.3
0x7e591759436f17537a5b915e0efbc68d8e5128c8,643,81.8,2263,10989.49,637.19,5.8,0.6435,67.7
0x07d435b39f1b8c2af5c30e536b1a4ebb70ff045f,576,79.2,3204,26023.42,1483.97,5.7,0.5145,52.7
0x79c19302058eb8d17e07f8fb8c19692b6f1ff3e2,615,74.3,4723,62823.43,3491.71,5.56,0.516,56.0
0x0245c62af4b6944d8c806c3518846044366d605f,563,79.0,2033,14293.62,783.61,5.48,0.6566,67.5
0x9c321244481b72c1c1903056a29fa8d82c6f5556,611,75.1,1702,10043.48,547.01,5.45,0.5433,56.5
0x6a015f754c9fc6f459a1a38401cd8791af2b77a6,511,84.1,2024,11877.31,635.78,5.35,0.5739,59.8
